,date,TeS,LeW,Integration,RMSE,Lat,Lon,Elevation,#Samples,Std-Int,Std-LeW,Std-TeS,Std-RMSE,Position,Time Delay,elevation of avg coord
55,1/10/13,-1226.306391,4.504093419,3243740.702,4747.289523,72.59705124,-38.78673815,3234.807692,104,216979.6034,0.876484503,945.2649502,946.0085309,2328.5,0.004803176,3236
56,1/28/13,-1484.665191,4.446074589,2938612.78,4597.275134,72.59153612,-38.23721362,3258.737288,118,217807.1924,0.515125457,773.3683391,857.653722,959.5,0.004813333,3261
57,2/6/13,-1119.327546,4.883234451,3327137.69,4920.989698,72.57230779,-38.19164061,3260.353982,113,228096.3781,1.402214138,1175.024945,999.1089567,2393.389381,0.004863189,3262
58,2/26/13,-1250.752704,4.728869129,3109896.127,4840.514647,72.58030223,-38.53054023,3245.452381,126,202517.971,1.011502089,1383.684824,1206.847879,1032.5,0.004881393,3248
59,3/7/13,-1323.694832,4.963081987,3261609.754,4756.647281,72.58304884,-38.45693654,3248.619048,126,218230.9285,1.372004219,971.1581308,797.6525027,2369.301587,0.004882467,3251
60,3/27/13,-1221.442321,5.163769871,3237290.148,4656.680488,72.58370916,-38.46416084,3247.739645,169,247961.8155,1.557750423,1117.886905,969.0137435,1004.47929,0.004865434,3251
61,4/5/13,-1445.321661,5.830227211,3367248.071,4840.365263,72.59439389,-38.70449793,3238.330357,112,257876.8346,2.170716392,1273.009808,968.3443806,2326.473214,0.004815118,3240
62,4/23/13,-1260.099689,5.049048864,3226014.788,4949.287753,72.59248312,-38.19425769,3260.318584,113,200760.5603,1.535497721,921.7651255,931.6882781,958.2920354,0.004803306,3262
63,5/3/13,-1188.252362,5.161097705,3340560.251,4681.770337,72.58322901,-38.43495667,3249.718563,167,200856.9541,1.517849334,992.6603378,862.4646446,2377.766467,0.004813255,3252
64,5/31/13,-1445.958576,5.424671997,3383101.629,4959.975759,72.5805648,-38.38192173,3251.943548,124,244835.1471,1.798995108,1016.519925,1004.182476,2377.919355,0.00487912,3255
65,6/19/13,-1384.081466,5.607229307,3336853.044,4752.135063,72.57857822,-38.57607614,3243.162963,135,229093.6939,2.053767458,1830.343546,1194.441146,1017.02963,0.004887641,3246
66,6/29/13,-1326.66014,4.528115251,2998645.205,4620.716314,72.5919148,-38.67122221,3239.65812,117,285771.819,0.778012767,1008.393127,874.0728776,2376.74359,0.004866512,3242
67,7/17/13,-1196.784652,5.08328647,3203263.63,4843.580243,72.58331263,-38.42618439,3250.240741,162,204333.8159,1.348584115,1237.755383,984.9780467,956.4938272,0.004845841,3253
68,7/27/13,-1298.202245,5.366588256,3255887.231,4712.57653,72.58358905,-38.4420737,3249.427746,173,261143.0715,1.74060987,1453.605946,1078.148724,2369.601156,0.004804437,3252
69,8/14/13,-1016.781481,5.377217512,3198308.157,4831.402726,72.58388028,-38.37545896,3252.785124,121,236097.1248,1.700907003,1843.93509,1068.944585,896.322314,0.004799638,3255
70,8/24/13,-1343.126084,5.091249991,3205293.68,4819.685274,72.57742018,-38.31057868,3255.106557,122,238777.9336,1.273189096,1156.950934,929.4866335,2368.795082,0.004829363,3258
71,9/12/13,-1241.347925,5.96733629,3314804.009,4639.428361,72.57532432,-38.65633337,3240.695652,115,213646.3722,1.86967887,1739.374186,993.093289,925.1652174,0.004852463,3243
72,9/22/13,-1164.639632,6.391494682,3458983.281,4811.754648,72.58913974,-38.57815604,3243.553719,121,214340.4283,2.288312363,1483.120365,1013.6907,2400.586777,0.004887706,3245
73,10/11/13,-1081.375746,6.772097489,3479911.8,4945.937147,72.56224997,-38.94027211,3228.042857,70,232360.4823,2.417211562,1575.221767,942.9533158,883.3857143,0.004884984,3228
74,10/20/13,-1257.225709,5.81606033,3447184.156,4800.685371,72.58342271,-38.45331398,3248.67052,173,217533.4615,2.065436711,2458.135821,1074.187047,2377.312139,0.004849158,3251
75,11/7/13,-1010.455201,6.329554091,3426217.331,4787.858891,72.58847115,-38.35884466,3253.487603,121,206880.7094,2.161972617,2669.234924,994.1011623,987.8181818,0.004827652,3255
76,11/17/13,-1030.198107,6.40739461,3562693.286,4857.203962,72.57341638,-38.20171996,3259.946429,112,234859.9964,2.055054899,1103.553764,941.0848866,2354.651786,0.004801722,3262
77,12/6/13,-1147.369023,5.961781835,3306229.661,4749.054947,72.57591351,-38.61519648,3242.190083,121,205816.3283,1.823253456,986.4057854,1083.30065,801,0.004806965,3244
78,12/16/13,-998.8234306,5.876267311,3482987.512,4850.022878,72.58518436,-38.45981505,3248.406504,123,196870.3817,1.715613116,1951.421256,1044.063651,2353.252033,0.004850388,3251
